Period,rgdp_mex,rgdp_usa,rgdp_can,gexp_mex,gexp_usa,gexp_can,tax_mex,tax_usa,tax_can,ca_mex,ca_usa,ca_can,reer_mex,reer_usa,reer_can,crisis,d_reer_mex,d_reer_usa,d_reer_can
2002/03,16.3668183920835,16.4205486688828,14.2372098425112,14.1027355554280,12.7798694314970,12.6504635515135,12.6339143324007,0.0231966562394,10.8440811530332,-0.0192006465296,-0.0103832839741,0.0035095470309,4.5538607991115,4.6664724185768,4.6695390081599,0.0000000000000,-0.0087834434849,-0.0436575826854,-0.0213923379645
2002/04,16.3691674371203,16.4218543737497,14.2426810571283,14.1172171724821,12.7911108582220,12.6580300416161,12.6517042611451,0.0225967105709,10.8593007389056,-0.0147748933093,-0.0110948244825,0.0031612429655,4.5536097915505,4.6448222672796,4.6804120104703,0.0000000000000,-0.0002510075611,-0.0216501512972,0.0108730023103
2003/01,16.3715651928786,16.4270083012876,14.2481990572792,14.1416755746797,12.8019026763855,12.6689383603694,12.6579991353743,0.0216059793117,10.8463544130512,-0.0088660655711,-0.0119654203048,0.0029157947281,4.5923980044689,4.5756965438313,4.6579997205456,0.0000000000000,0.0387882129185,-0.0691257234484,-0.0224122899247
2003/02,16.3738511742832,16.4359024091987,14.2467233316547,14.1849449524740,12.8193778683881,12.6724791880095,12.6545785769393,0.0200024467933,10.8100811175199,-0.0104884739407,-0.0111817844878,0.0007651165045,4.6582276147649,4.6124650933938,4.6199676741564,0.0000000000000,0.0658296102960,0.0367685495626,-0.0380320463892
2003/03,16.3734528044723,16.4524339695379,14.2504529115903,14.1800822947330,12.8306849335351,12.6750663900139,12.6949925091706,0.0138833401388,10.8498153617506,-0.0057769680292,-0.0110518530298,0.0041476727257,4.6708517383848,4.5929094424376,4.6223929880182,0.0000000000000,0.0126241236199,-0.0195556509562,0.0024253138619
2003/04,16.3843932102711,16.4639083436709,14.2573288101382,14.1785006805592,12.8307133923919,12.6828967126201,12.6578830718324,0.0218019791316,10.8628938911207,-0.0043262750911,-0.0106923777998,0.0044277404697,4.7105036873314,4.5435673009574,4.5893490003874,0.0000000000000,0.0396519489466,-0.0493421414802,-0.0330439876309
2004/01,16.3983369716531,16.4696211592819,14.2645056706215,14.1739942342687,12.8379962554885,12.6893348649235,12.6604643414385,0.0208478303296,10.8720814981259,-0.0038926229570,-0.0113094272471,0.0052653261493,4.6997886845702,4.5626126188720,4.5686404329976,0.0000000000000,-0.0107150027612,0.0190453179146,-0.0207085673897
2004/02,16.4137096895149,16.4773783816635,14.2763138687772,14.1635158716356,12.8490469382131,12.6875260996377,12.5886389959139,0.0228418414712,10.8658182444188,-0.0015215074646,-0.0126863149371,0.0067944235130,4.6741312053053,4.5361952387655,4.5934815896672,0.0000000000000,-0.0256574792649,-0.0264173801065,0.0248411566695
2004/03,16.4115527736010,16.4867468326104,14.2880490966107,14.1440752628309,12.8429222301663,12.6957134472087,12.5372624143850,0.0269261059476,10.8936965664263,-0.0065837568848,-0.0128920923679,0.0058521028798,4.7097085467034,4.5343471917849,4.5829190848957,0.0000000000000,0.0355773413981,-0.0018480469806,-0.0105625047715
2004/04,16.4247290233976,16.4969152324469,14.2952076781519,14.1534481703771,12.8597338693102,12.7011102924956,12.5631035770137,0.0289156870793,10.8930078190871,-0.0121126709784,-0.0141996505757,0.0055344237353,4.7656759278469,4.5365031384874,4.5511562977553,0.0000000000000,0.0559673811435,0.0021559467025,-0.0317627871403
